,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tempo_bpm,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,is_ai
Astronaut at the Aquarium,-129.22787,69.06668,10.199421,19.21379,-1.0049086,-1.2319534,-8.681555,-5.673239,-8.668065,-3.997458,-9.240958,3.4713013,-10.5964365,-1.5694684,-11.596178,-0.6239705,-8.284083,0.3926163,-2.0277169,-2.896717,92,0.27726492,0.31780913,0.41439158,0.3643381,0.21826725,0.33951774,0.2904149,0.33409607,0.23744537,0.25244257,0.3952663,0.26846802,1
Axe Murderer,-102.1992,58.327927,-9.77376,7.423514,-3.0832124,-1.4874287,-5.8832893,0.4353486,-12.86354,2.7535946,-8.014344,3.7222486,-9.927996,-2.699523,-4.6988387,-4.364189,-9.664779,-1.5954722,-6.604291,-1.326665,143,0.438915,0.29954487,0.32781082,0.38357863,0.3013214,0.3635531,0.2814478,0.38058937,0.31672123,0.2923475,0.4188054,0.33694115,1
Back in the Woods,-155.93985,95.77627,12.322349,32.156685,11.762963,8.706381,2.754526,6.578326,-1.0211048,3.8186371,1.8949791,6.122694,0.72780925,3.8630054,-2.0889246,3.210812,0.81292963,3.8489904,-0.2456058,3.2789984,117,0.2710439,0.29813036,0.33693358,0.29917422,0.2860683,0.23882137,0.5467189,0.32756835,0.23715505,0.34248942,0.2845285,0.57038635,1
Backseat Moonlight,-238.24608,106.741035,28.038483,38.77775,12.182413,5.3633313,10.41378,6.099901,-0.07111002,1.6459489,-6.8612275,2.3622012,-5.531309,0.0015725056,-5.7812605,-3.087788,-2.523281,-0.1602426,0.14139448,-1.7213324,86,0.23634227,0.37298658,0.3277792,0.3852021,0.29981607,0.44383183,0.28397307,0.15015544,0.21554045,0.22574522,0.36799,0.22761907,1
Baked Potato,-250.61194,112.76773,31.223288,44.315475,16.243168,4.0518603,0.5611646,0.06298058,-2.8682137,-1.5590388,-5.575173,-3.4832478,-8.379281,-3.8397112,-2.544663,2.8608558,-2.6396496,-1.5831419,-2.492257,-7.8420525,80,0.2540441,0.25138223,0.41386592,0.25689813,0.18748716,0.28171214,0.24408366,0.2974219,0.17183335,0.27600434,0.5002651,0.27622184,1
Banana Dressed in Pink,-216.24869,77.5714,29.567719,31.738457,9.663854,-3.5196745,-1.2999572,-14.527884,-13.670353,-6.939363,-18.777132,-2.4290526,-12.066935,-3.497096,-14.69926,-5.143102,-4.1652365,-6.4300685,-9.813543,-6.5008826,117,0.18517208,0.12176025,0.25141138,0.53545517,0.16268446,0.15261725,0.11004901,0.20859951,0.22463363,0.17244543,0.3026582,0.16657402,1
Beats and Lies,-151.95047,90.54628,14.343166,30.152924,5.588393,5.8980317,-1.3031358,1.4691728,2.5856895,-0.74885714,-2.644029,0.1298231,-4.4561915,-3.4223554,-2.5099163,-0.61014926,-8.306442,-3.0751,-4.2519245,-5.998442,161,0.33804768,0.22332226,0.25680953,0.26740605,0.29070702,0.18616813,0.33790222,0.58336,0.30716106,0.23348926,0.23945092,0.41933674,1
Bigger Than A King,-104.25833,74.87618,27.03405,28.369246,3.2411103,7.4547343,-1.3743438,-1.0005914,0.39479768,3.4210708,-3.0522106,0.71539176,-4.9891367,1.4728014,-4.30799,0.030651364,-3.8114414,-2.3059974,-4.915751,0.8495448,95,0.2921147,0.36890256,0.2676362,0.48546758,0.32355106,0.22486506,0.3630876,0.2362704,0.3698142,0.22204308,0.3502128,0.5027784,1
Blowfish,-185.84653,106.49572,2.1159823,27.962519,12.866355,4.368318,5.017588,0.48297507,-8.137179,-5.2205825,-10.765208,-3.4006782,-6.749601,-5.9264584,-6.0267615,-3.70301,-6.2257943,-2.263703,-4.564066,-2.3225484,89,0.28492045,0.12938046,0.19523965,0.2613132,0.43295828,0.23695257,0.20962359,0.23287785,0.35230875,0.41350186,0.2318799,0.33214056,1
Blue Pants,-183.9447,83.16476,24.754963,55.901665,21.44122,1.5955255,18.786997,-10.6600275,15.098237,16.495972,-7.7897577,10.706471,-8.696731,6.561858,2.6882284,-6.877352,-0.8228761,0.18649755,-1.4415985,5.570345,123,0.23323867,0.1949622,0.17229766,0.25478023,0.21321194,0.28144217,0.11382161,0.084710896,0.13098045,0.31713223,0.77706295,0.45082456,1
Body Swap,-158.39346,55.77513,10.629619,17.162281,1.3052471,-5.370675,-6.978562,-4.3146033,-10.0064335,-0.13532774,-7.7289624,-4.5730395,-6.111655,-10.679126,-8.070643,-6.409633,-15.130536,-6.0616765,-8.715402,-7.9280396,143,0.2492784,0.19332129,0.34667268,0.21464926,0.2721777,0.23567249,0.45308357,0.234428,0.1781228,0.3837832,0.30819115,0.44981068,1
Boy Scouts for Dogs,-80.49271,70.85654,-10.622505,25.48874,-8.902386,2.9444535,-1.3761601,4.9556675,-6.744053,2.1916487,-6.8659873,-1.2397134,-8.046483,0.19616577,-7.84036,-5.4685016,-5.656087,1.6376,-1.956502,-2.6633213,184,0.36209288,0.3294539,0.5004981,0.34298408,0.31554863,0.46323195,0.3797326,0.44818398,0.41381866,0.49657905,0.4260187,0.32071516,1
Breadman,-157.59622,77.57417,23.85354,44.91765,15.022538,5.3297906,9.172409,-7.0114164,3.806403,-6.6579876,-6.398191,-2.0953636,-12.126427,2.5236697,-8.091003,-5.654627,-5.7267327,-7.168244,-3.8138466,4.576098,172,0.3919832,0.26807028,0.37408903,0.28013027,0.49038655,0.31527826,0.1783952,0.34813353,0.17752086,0.1951178,0.1183883,0.16135533,1
Breakfast in Bed,-283.89465,118.5403,26.990261,12.281705,-0.396238,-1.8334577,-1.3354679,-20.710709,-8.26699,-19.080023,-17.830904,-9.126885,-16.875425,-10.320149,-19.325014,-17.071692,-11.263652,-8.711626,-8.218352,-2.3212056,161,0.3227396,0.13285753,0.15843847,0.10235741,0.37366483,0.21390651,0.109514765,0.32501847,0.11735394,0.13418122,0.07403889,0.14656399,1
Bring a Bigger Boat,-112.94702,78.40129,-9.892375,16.273014,-17.392385,4.4535108,-5.058444,-8.732991,1.0720766,-0.05511522,-7.093954,0.735315,-4.4004154,-2.7784486,-8.257492,-4.252576,-6.9073067,-1.4242656,-4.5246925,-2.3191814,95,0.4237448,0.3574303,0.30858707,0.31052896,0.51908064,0.4042294,0.29786664,0.3524642,0.33851957,0.48008043,0.49560836,0.42762312,1
Broken Elevator,-186.04588,90.69001,37.870968,25.837772,4.2563224,11.999817,-3.7130547,-1.4251605,-2.9349947,1.3247045,-0.83302444,1.1784542,-6.5502954,-5.3215504,-4.617621,-3.0230446,-7.4630146,-0.08735832,-1.86068,-5.1772847,83,0.44406718,0.2132438,0.31229383,0.3407672,0.19866297,0.34120739,0.16732728,0.20222232,0.2202751,0.18957312,0.27817804,0.22042388,1
Broken Tooth,-222.5857,120.6874,-8.012777,14.6587715,-10.138811,-10.403488,-8.365953,-3.5098321,-5.3858857,-2.4882095,-8.023694,-4.1268363,-4.4590726,-1.0942428,-6.696253,-1.0991145,-3.3826544,-4.806578,-2.5671673,-2.4518597,129,0.2629528,0.47690076,0.24628085,0.31115273,0.2724786,0.23462391,0.23971201,0.29776865,0.6220902,0.25552842,0.2395311,0.36281335,1
Brown Cow Brown Cow,-234.63278,122.506546,42.698425,36.667828,9.898076,11.10028,11.8496475,9.800809,13.0917425,6.1934476,4.7809787,4.9760847,-4.5813274,7.5548606,1.2092192,0.71472347,-3.4558065,-5.2852945,-9.776881,-6.290846,92,0.13222279,0.18378387,0.3446654,0.69760805,0.29270804,0.12919933,0.16336223,0.18441617,0.14003922,0.23004569,0.5722634,0.18765306,1
Bubbles,-179.28275,74.93419,-1.6094741,30.014376,0.23290288,4.92342,3.542491,-8.534285,-6.5861864,-5.467831,-9.302166,-2.78297,-14.863968,-4.3727913,-8.613328,-5.485352,-11.130446,-5.97414,-10.538139,-7.315472,143,0.18854004,0.37708893,0.1820474,0.2806825,0.14059886,0.23674515,0.37359393,0.15751794,0.16512688,0.22353032,0.49817595,0.34376052,1
Burned Toast,-142.21738,85.625916,-10.197606,29.426695,6.3697867,3.0836537,-2.195551,5.067458,1.0180607,1.1642443,-4.7534633,3.9090939,-8.327638,-5.098726,-4.3184886,0.5653777,-6.392848,-1.5215403,-6.0147285,-6.4224296,107,0.32261994,0.33856866,0.19517207,0.21410067,0.15636045,0.3539708,0.29176393,0.34088472,0.5042632,0.27143636,0.39750516,0.19244324,1
Bury Me at Makeout Creek,-104.830505,44.79448,10.116373,27.016127,3.626715,9.383949,-4.950901,3.7679255,-4.415098,2.9684467,3.2040823,-1.196417,-3.7254295,2.1984084,-1.9234145,0.5798298,-3.769034,2.4747593,-3.0428061,-1.1821096,95,0.21721144,0.2282425,0.3473276,0.31393233,0.51344836,0.44327146,0.3474247,0.37894833,0.3603866,0.466296,0.4507997,0.36814547,1
Butterflies in a Hurricane,-208.45622,81.97535,-28.250032,4.402119,3.363331,-3.301506,-6.9078736,-14.1986685,-3.9094262,-9.55453,-6.0160327,-4.9157767,-10.008417,-1.7766767,-6.3697104,-5.691872,-2.5113065,6.9663115,-1.3642498,0.95692635,184,0.2363688,0.266713,0.37143537,0.2602436,0.4347025,0.23725362,0.32091504,0.35072976,0.2813629,0.3108632,0.31464028,0.44480082,1
Can You Eat Flowers,-206.469,121.44234,29.538696,29.809368,4.2014413,12.046201,-6.1111755,2.0490606,-12.432647,-9.751994,-5.6778665,-6.129979,-6.651565,-6.200509,-6.854035,-1.6472278,-4.9523115,-1.6470237,-1.7724819,-2.5508802,89,0.29763725,0.17406549,0.39371607,0.24205057,0.36712897,0.28093076,0.1975919,0.4069459,0.20085943,0.21376482,0.12549998,0.31814623,1
Candy Floss,-147.53416,86.76545,18.63707,25.44173,1.6373974,8.750683,5.7629056,0.2650795,4.1889453,4.2028475,-3.4493554,3.8635123,-7.90899,-0.47306386,-4.901857,0.46946013,3.8041117,-1.7042422,0.2799759,5.6285076,117,0.23259096,0.28243572,0.18960339,0.30291775,0.6477313,0.25952053,0.2591717,0.19074838,0.31481302,0.28982544,0.22009541,0.38021052,1
Candyland,-109.16568,91.07406,-7.2067585,33.477066,-5.6759157,0.8735469,9.736558,6.81798,4.668745,0.6577604,-3.2376187,5.5804744,-1.5540568,-3.0858302,-9.710806,-2.309354,-3.0366094,0.5708485,0.39105895,-1.4823138,86,0.3401015,0.3785278,0.5775969,0.35845453,0.2856211,0.31944677,0.30952254,0.31270638,0.29230255,0.43238533,0.26373443,0.23996933,1
Cardboard Boxes,-135.7284,89.24485,14.859489,29.47357,13.298159,2.06565,2.2963943,-0.42022884,0.37828493,1.0194547,-5.704063,7.5577545,-7.630344,3.421485,-5.6973095,-1.4345471,-7.362049,-0.13323955,-6.826211,-2.6607695,129,0.20330136,0.2724845,0.41938493,0.22968458,0.25421798,0.1819135,0.345362,0.21740702,0.21265376,0.44211823,0.2666455,0.36178556,1
Cardboard Cutout,-160.00175,121.24768,14.871089,10.679235,-4.7630143,3.5165203,0.57705563,-10.773179,8.970408,2.3818083,-3.366275,7.6722693,-10.251206,12.290654,-5.600582,-3.090197,-1.1424639,4.493789,-2.9357748,-2.0718312,161,0.29822767,0.39273524,0.20444578,0.22080119,0.35580206,0.2753835,0.47222334,0.22927211,0.2862244,0.2891432,0.3038769,0.4764819,1
Catch-22,-151.42058,63.945145,6.311969,25.590576,2.790659,4.334569,-6.702354,0.32685167,-8.067567,-1.6225958,-6.61498,-1.9553694,-8.58885,-4.8104653,1.1757027,-2.409488,-11.104867,-4.7363644,-9.626762,-9.282231,161,0.25677165,0.20624545,0.29685104,0.26504067,0.3864607,0.19062784,0.19145262,0.18913928,0.18563996,0.34122223,0.33980078,0.47877508,1
Cheeseburgers,-101.44205,67.48185,2.2121887,29.162115,0.67095083,-0.21433666,1.2959492,-0.391719,0.37889883,3.7773569,-8.570905,5.2147355,-7.8877907,5.3938107,-4.589503,4.840535,1.6873696,-2.7355978,-5.0735216,-1.2205539,151,0.24015279,0.3893912,0.25505444,0.20655976,0.36376187,0.20071375,0.25093865,0.1627669,0.3279483,0.4619596,0.23633869,0.34452564,1
Cherry Bomb,-211.98967,102.90823,-3.4545596,23.627647,6.803632,2.1532114,6.1488132,-1.7668622,7.843325,-7.312968,-10.221238,-6.1618385,-13.262768,-0.39620018,-9.034449,-5.3960423,-6.581287,-7.3280644,-3.707703,-3.057632,117,0.34898797,0.15621862,0.16049714,0.22870596,0.18485023,0.38687038,0.20495497,0.26490957,0.3870241,0.2660645,0.47036338,0.27565715,1
Cherry Red,-264.6906,147.60709,7.6289372,47.654587,18.98484,-6.9579353,1.4449244,1.952406,-7.498021,3.0505526,0.37103763,2.6520016,-9.156358,-8.091679,-11.556781,-6.950375,-9.625852,-2.515862,0.780127,-0.8331396,151,0.20342775,0.072786175,0.22413035,0.2639511,0.60938525,0.23764361,0.22317226,0.27370963,0.08261876,0.114516005,0.155944,0.45961472,1
Chicken Bone,-191.9638,88.84297,12.629873,19.960754,10.988036,-10.178931,5.172389,-4.086825,-2.8637455,0.74049723,-4.8727884,7.004626,-12.440572,-5.0858254,-3.5978608,-3.8167245,-6.640737,-6.1677494,-4.723863,-5.1033564,92,0.32270414,0.36820042,0.33550525,0.41676086,0.3144836,0.34213957,0.31406125,0.23897094,0.2008345,0.29801735,0.49141568,0.29833442,1
Chicken Feathers,-148.6192,101.22556,17.321444,27.540598,9.102567,1.3836043,5.9631352,1.1833844,-1.641184,3.7015846,-1.6434791,3.888774,2.7089183,-0.30265135,-0.14453399,2.0915833,-2.679092,-4.0624213,-3.2144258,0.42669168,123,0.48811382,0.37624675,0.43944463,0.3898184,0.42975307,0.37962747,0.28237277,0.27558517,0.29429346,0.4635373,0.31578997,0.32363883,1
Chin Chin,-199.1588,104.01589,39.034615,42.402576,11.270923,6.3303714,-2.509772,2.928718,2.9182956,-1.746782,2.1542754,9.391933,-5.6113553,2.3052015,0.7726552,2.8290856,-2.8711724,1.2224985,-2.498652,-2.022923,86,0.27203944,0.22472356,0.46703294,0.22534773,0.21785562,0.12829188,0.32372913,0.39949065,0.17693532,0.25216407,0.263075,0.4454462,1
Coconut Beach,-320.31927,109.23084,28.76733,32.72434,15.932808,7.6586432,2.1506698,1.8914882,-7.922788,-7.682607,-11.449801,-2.3026903,-6.6599946,-6.0683336,-10.258035,-6.6850505,-5.648311,-4.3136086,-5.9806366,-4.0858207,143,0.083550334,0.096253246,0.28479984,0.2776951,0.14449988,0.3360535,0.15928674,0.22739293,0.12139374,0.20956114,0.5139717,0.16830413,1
Cold Coffee,-316.12732,171.61081,55.41609,21.418709,10.573794,-7.0945816,-0.9523475,-27.682877,4.5674872,3.196944,-16.505928,-1.7783164,-8.100039,-1.3613838,-1.826178,-7.212608,-6.031701,4.5043273,1.9221964,1.2806958,129,0.1503815,0.09159789,0.22047436,0.21914323,0.6315774,0.26489535,0.22931461,0.35642466,0.165381,0.23245837,0.14500195,0.37353006,1
Cosmic Disco,-142.47305,81.16357,25.650139,32.007904,-0.2996157,4.88491,-1.6421945,2.1953309,-5.468977,5.0685515,-13.263512,-7.465186,-12.781346,-2.9284847,-5.771736,-2.8049245,-6.768192,-6.32174,-6.4075637,-5.4771514,172,0.41242084,0.33589208,0.18489267,0.2804663,0.1792909,0.21640144,0.18065752,0.34036842,0.44721776,0.27625623,0.34852323,0.21383336,1
Cowboy Boot,-149.4503,99.699295,17.022148,13.793353,7.924825,10.204471,14.149487,7.6916375,13.14913,5.682315,-3.1231632,3.2097304,-0.2879512,3.6201437,-0.541329,-0.8268841,-3.7771268,0.5858677,-2.8414474,1.4944578,135,0.2936556,0.2379116,0.21385519,0.18221901,0.17386618,0.27316788,0.17869018,0.20838456,0.36249137,0.560894,0.908017,0.48476034,1
Cows on the Moon,-201.4769,112.01214,16.776182,21.146791,1.0767248,4.9149723,8.346725,-6.4733005,1.5889488,0.22918871,-10.892086,1.5484289,-17.389927,4.718486,-6.7125597,5.134957,6.6989646,5.0823584,-2.9768689,-0.2935295,143,0.10788196,0.23416464,0.24556354,0.45554927,0.2270237,0.21154474,0.32314283,0.18619369,0.40694562,0.1803931,0.30247697,0.11133285,1
Coyote Ugly,-149.9475,82.461655,2.5648735,32.097942,5.213815,8.089185,10.227335,-4.191342,14.167712,1.2763702,5.954474,16.204279,-3.536032,12.416611,3.0302927,2.492776,1.1412679,4.09584,0.3986597,-1.4655882,83,0.26444843,0.3353655,0.49642178,0.46080735,0.3249039,0.30663642,0.24249013,0.2857307,0.3692262,0.44065517,0.38099504,0.28756765,1
Crabs,-75.27409,57.869484,11.955486,32.853718,8.864796,-2.9317467,2.3976843,10.287111,2.2380462,0.7736429,-6.3606095,2.9618022,-3.1887155,-2.4499369,-5.5556602,0.7382142,-4.204258,-1.6772687,-3.1126072,0.87305766,184,0.27008858,0.29964623,0.400128,0.3528355,0.52927303,0.4178629,0.31969634,0.31209067,0.39977896,0.33078292,0.27439213,0.37855944,1
Curiosity,-142.91827,67.62221,-0.72079647,12.179561,-10.556093,-5.7226176,-7.9383917,-7.8914495,-2.7980187,-6.546707,-8.0378475,0.4794683,-7.7297053,1.7710729,-8.747812,-5.139109,-9.27036,-2.9577522,-6.2092767,-4.573001,129,0.20321062,0.25561985,0.37666816,0.26792216,0.3031537,0.2903373,0.21618648,0.19887967,0.24205208,0.51567364,0.40099224,0.2021537,1
Darts,-174.3463,113.54407,5.3578525,17.464159,0.38702935,-5.857469,5.873844,-7.8514614,7.0466466,-7.881981,-0.38871565,-5.879152,-11.953131,-1.569337,-10.537492,-8.780632,-8.602012,-3.5062532,-9.643408,-8.393218,83,0.31907403,0.21133883,0.28130636,0.15667143,0.24219538,0.33099097,0.23036012,0.26951486,0.21237288,0.34410864,0.17849195,0.22719465,1
Deep-Fried Ice Cream,-149.4791,57.58347,1.6630743,0.781462,-2.2535355,-5.180873,-3.8403335,-2.6854584,2.2650282,1.743723,1.2415377,3.162615,-2.4648058,-1.3358421,-4.5030546,2.223284,0.65117097,-1.4573781,-2.8389816,3.311834,117,0.20889169,0.26068074,0.1695387,0.2554446,0.52235395,0.23432629,0.31322515,0.25417697,0.37715805,0.25304827,0.22589324,0.39115137,1
Delorean,-87.60542,62.404522,22.221716,22.778929,-3.2243793,12.721747,2.5095997,6.4076905,-5.033109,6.316999,1.5127257,-1.3601537,-6.8272295,-5.405001,-1.0949329,-3.6357698,-9.659021,-1.9205978,-7.1936393,-5.293389,151,0.2340351,0.28724846,0.2749067,0.20637257,0.26632074,0.26352903,0.47970098,0.2594616,0.26846257,0.4335701,0.32266298,0.41228506,1
Disco Shark,-111.66842,62.79643,-11.327405,31.754402,-5.741762,15.522246,-7.8581553,6.86834,-8.78917,1.5439905,-0.1143359,0.07824449,-7.295126,0.11086422,-4.337066,1.2883236,-5.2359934,-1.8102785,-2.6064222,-3.2296774,117,0.35518217,0.3059587,0.42502952,0.32030675,0.42090392,0.3305552,0.3941067,0.40319,0.32127097,0.46887988,0.3553875,0.4541285,1
Do We Even Exist,-101.60185,76.11686,14.084093,24.031807,6.0496182,3.5235727,6.187069,7.6294127,0.70762366,3.8472753,-0.3588541,12.277388,-5.699903,2.3775933,-6.5713367,1.3704008,-2.2249203,0.88306135,-6.2275624,-0.4663904,83,0.19359611,0.2958342,0.59810513,0.26908737,0.24559352,0.20247984,0.4221003,0.36950132,0.27649495,0.46479887,0.28510666,0.3539664,1
Do the Dogs of Cyberland Still Dream_,-129.5773,71.252525,13.395035,20.3682,4.0096755,2.3530512,2.4861403,0.7483729,2.2837303,2.098262,-2.3111916,0.9521996,-8.440687,-3.7620533,-9.124546,-5.5833154,-4.6630273,-2.2697756,-5.2659082,-1.8164669,172,0.22117095,0.18214066,0.35133055,0.3489039,0.2188917,0.4289965,0.17378204,0.17773895,0.15692866,0.28162697,0.46652058,0.19697408,1
Dog Bowl,-106.892555,86.497536,-2.648793,44.122253,12.948987,5.7075243,8.317321,-2.1402624,5.8119445,5.0695167,1.6362813,4.6088805,-3.701807,4.801125,-5.079417,1.0281086,-1.3914976,-0.021007232,1.8013144,7.075496,172,0.33875456,0.24074551,0.32128292,0.24437028,0.41123566,0.3414152,0.29349375,0.43781936,0.26190546,0.23517723,0.18244568,0.32868394,1
Donut Dream,-112.78739,69.96292,-2.7647014,20.458694,6.1414776,6.3956847,6.0931697,3.1229372,-3.730076,4.398318,-3.6850355,0.37923545,-2.4227667,5.160045,0.86537045,-0.871557,-4.009133,-0.579626,-7.459199,0.16250195,117,0.43692777,0.32691875,0.3165687,0.3128515,0.4604068,0.27516192,0.28335872,0.31631356,0.27801204,0.32540113,0.24726193,0.44683638,1
Dragon Tamer,-252.72289,106.34825,30.178152,26.916645,15.848664,3.598654,13.577448,-5.6208262,3.20318,-9.233913,-8.017068,-1.7924151,-22.22932,2.0602627,-10.034571,-7.722146,-5.723133,-3.8028123,-4.9824114,-3.297101,86,0.22050148,0.17688157,0.060316138,0.12832123,0.290032,0.23542587,0.48782405,0.21088196,0.17627102,0.19440389,0.18821563,0.41701785,1
Drifting Satellites,-128.50026,73.60009,24.853905,26.834309,8.8502245,8.540846,2.4996073,1.9797726,-1.7066005,3.0607698,-0.9750955,-0.6981859,-6.463163,-2.7621355,-4.5044246,-2.9123342,-6.5362597,-0.27443975,-6.8765397,-4.9660273,143,0.18284985,0.17705752,0.14742987,0.32804632,0.64956534,0.2448171,0.20238519,0.2162296,0.3417283,0.41477346,0.29076123,0.4267819,1
Drinks in the Kitchen,-135.52216,55.30785,13.225332,16.088821,15.399063,-0.028626055,-2.853433,-3.4484856,-0.9805737,0.31491598,-4.3690686,-0.37215573,-12.941066,-2.7825742,-4.862294,-8.2114725,-9.178928,-3.3601534,-7.0034738,-2.3213665,89,0.2964937,0.49142745,0.30420843,0.39381233,0.24387254,0.30962026,0.18197319,0.21197598,0.36840996,0.31116217,0.41424885,0.26503018,1
Duck Dynasty,-144.38165,85.52759,34.39594,19.512644,4.032181,10.611341,5.014452,2.229494,-6.445973,-4.663576,-3.423606,0.585309,-4.098536,-0.8462723,-4.6189847,-0.22353616,-5.1830935,-1.370992,-3.2980142,-1.9965898,99,0.42621964,0.256791,0.30867136,0.30003032,0.5002796,0.3477803,0.2595879,0.28233367,0.3198943,0.460727,0.29732192,0.3873356,1
Empty Beer Cans,-123.01016,76.80969,-7.145464,13.7273245,5.4369044,2.2251525,-14.778581,-2.6445165,-1.8239403,-5.167666,-5.200085,-3.034623,-5.3964815,-5.9689636,-4.913313,1.7541124,-8.68894,-2.3248413,-2.6524136,-4.3771567,83,0.20085841,0.23746748,0.41195324,0.26181343,0.33937383,0.20368613,0.3449003,0.42909145,0.24338084,0.4173422,0.24357067,0.33649495,1
